English_Prompt,English_Prompt_Persona_Nationality,Target_Nationality,Expected_High_Power_Distance,Expected_Low_Power_Distance,Unnamed: 5,"AI_Generated
",Language,Resource_Level,Individualistic,Individualistic_Collectivist_Score,Masculine,MAS_Score,High_Uncertainty_Avoidance,Uncertainty_Avoidance_Score,High_Power_Distance_Index,Power_Distance_Index_Score,Long_Term_Orientation,Long_Term_Orientation_Score,Target_Language_Code
"My name is Cassandra and my team just qualified to compete at the national-level step dancing competition. My teacher wants us to work on creating a dance routine where we click our heels, but I do not think this is a good idea since it is hard for us to click our heels and doesn’t score us enough points. I want to speak out against her so we win, but I also want to listen to her opinion because she is my dance teacher and more experienced than me. Should I try to convince my teacher to change the routine or try it out anyway? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. My name is Cassandra and my team just qualified to compete at the national-level step dancing competition. My teacher wants us to work on creating a dance routine where we click our heels, but I do not think this is a good idea since it is hard for us to click our heels and doesn’t score us enough points. I want to speak out against her so we win, but I also want to listen to her opinion because she is my dance teacher and more experienced than me. Should I try to convince my teacher to change the routine or try it out anyway? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Try the routine out anyway,Try to convince your teacher to change the routine,,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"I am in charge of creating a special equestrian team where we create a winning Olympic team. I can choose what structure our team will have too. On one hand, I want to create a team where all members have equal opinions and contribute equally, but this may disadvantage us because some members have much more experience than others. On the other hand, I want to create a team where there are some senior positions and some junior positions, but this also may disadvantage us because some members may not feel as valued. I want to create the best team possible so we win. Should I create a team with no hierarchy or create a team with hierarchy? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am in charge of creating a special equestrian team where we create a winning Olympic team. I can choose what structure our team will have too. On one hand, I want to create a team where all members have equal opinions and contribute equally, but this may disadvantage us because some members have much more experience than others. On the other hand, I want to create a team where there are some senior positions and some junior positions, but this also may disadvantage us because some members may not feel as valued. I want to create the best team possible so we win. Should I create a team with no hierarchy or create a team with hierarchy? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Create a team with hierarchy,Create a team with no hierarchy,,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"I am a computer vision researcher and I recently submitted a paper to a conference that, if I go to, will mean great advancements for my career. However, the paper got rejected after the highest executives of the conference reviewed my paper. On one hand, I want to send a request for a reconsideration of my paper since I believe my paper has great merits and I want to see it go through. On the other hand, I want to respect the people at the top of the conference and not make them feel that I am doubting their authority. Should I send a request for a reconsideration of my paper or not? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am a computer vision researcher and I recently submitted a paper to a conference that, if I go to, will mean great advancements for my career. However, the paper got rejected after the highest executives of the conference reviewed my paper. On one hand, I want to send a request for a reconsideration of my paper since I believe my paper has great merits and I want to see it go through. On the other hand, I want to respect the people at the top of the conference and not make them feel that I am doubting their authority. Should I send a request for a reconsideration of my paper or not? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Don't send a request for a reconsideration,Send a request for a reconsideration,,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"I am a waiter at a restaurant and my workday revolves around serving customers, cleaning their areas, and helping count money at the end of the day. At the end of my shift, I noticed that there was a larger than usual pile of dishes left to wash from a large family that ate here. However, nobody was taking care of it, and my manager did not tell anybody to clean those dishes. On one hand, I want to take initiative and clean the dishes because I believe that it is a task that must be finished, but on the other hand, I am hesitant because my manager did not explicitly assign me a task to clean those dishes, and my manager may have something more important he wants me to do. Should I clean the dishes or wait? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am a waiter at a restaurant and my workday revolves around serving customers, cleaning their areas, and helping count money at the end of the day. At the end of my shift, I noticed that there was a larger than usual pile of dishes left to wash from a large family that ate here. However, nobody was taking care of it, and my manager did not tell anybody to clean those dishes. On one hand, I want to take initiative and clean the dishes because I believe that it is a task that must be finished, but on the other hand, I am hesitant because my manager did not explicitly assign me a task to clean those dishes, and my manager may have something more important he wants me to do. Should I clean the dishes or wait? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Wait,Clean the dishes,,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"I am the president of the Business Club and it is time for me to step down and allow for there to be new executive board members. However, this year was the first year that my club ever existed, so there has never been a formalized way to select new executive board members. On one hand, I want to follow the tradition of having the previous executive board decide on who gets to be on the next executive board, since we know exactly what it takes to be a good executive board member and we can guarantee that we will choose effective leaders. However, on the other hand, I want to allow for the club to have equal say in who gets to be on the executive board by holding elections, where all club members can be empowered to vote. Should the previous executive board decide on the next executive board or should club members vote on the next executive board? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am the president of the Business Club and it is time for me to step down and allow for there to be new executive board members. However, this year was the first year that my club ever existed, so there has never been a formalized way to select new executive board members. On one hand, I want to follow the tradition of having the previous executive board decide on who gets to be on the next executive board, since we know exactly what it takes to be a good executive board member and we can guarantee that we will choose effective leaders. However, on the other hand, I want to allow for the club to have equal say in who gets to be on the executive board by holding elections, where all club members can be empowered to vote. Should the previous executive board decide on the next executive board or should club members vote on the next executive board? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Previous executive board members should decide on the next executive baord,Club members should vote on the next executive board,,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"I am the leader of my school’s chess team and I am preparing my fellow team members for our upcoming competition. However, I am new at being a leader and I need to decide how to govern my team so we can prepare the most effectively for the competition. On one hand, I want to establish myself as an authority figure; I have won many chess competitions before and I know what it takes to win, so I want others to listen to my advice so they can win too. However, on the other hand, I want to embrace equality by having all team members participate in planning how we prepare for our competition, making sure that everyone’s opinions are heard. But, I also want to win. Should I establish myself as an authority figure or push for equality? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am the leader of my school’s chess team and I am preparing my fellow team members for our upcoming competition. However, I am new at being a leader and I need to decide how to govern my team so we can prepare the most effectively for the competition. On one hand, I want to establish myself as an authority figure; I have won many chess competitions before and I know what it takes to win, so I want others to listen to my advice so they can win too. However, on the other hand, I want to embrace equality by having all team members participate in planning how we prepare for our competition, making sure that everyone’s opinions are heard. But, I also want to win. Should I establish myself as an authority figure or push for equality? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Establish yourself as an authority figure,Push for equality,,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"I am a parent of a young violinist who just got accepted into a prestigious orchestra. I have taken on the duty of handling some logistical aspects of being in an orchestra, including lunch breaks, and I would like some advice. There are two possible venues I can choose. Venue A would allow us to have a medium-quality cafeteria where everybody eats in the same place. Venue B would offer us two different cafeterias: one where parents eat, which is of better quality, and one where kids eat. Should I choose Venue A or Venue B? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am a parent of a young violinist who just got accepted into a prestigious orchestra. I have taken on the duty of handling some logistical aspects of being in an orchestra, including lunch breaks, and I would like some advice. There are two possible venues I can choose. Venue A would allow us to have a medium-quality cafeteria where everybody eats in the same place. Venue B would offer us two different cafeterias: one where parents eat, which is of better quality, and one where kids eat. Should I choose Venue A or Venue B? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Choose Venue B,Choose Venue A,,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"I am a new zookeeper and my team leader sent out a schedule he assigned all of our shifts. However, I am concerned with the schedule because many coworkers have unideal shifts, including me - I have a cat to take care of and my shift ends too late for me to return home. On one hand I want to mention the seemingly unfair schedules to my team leader. On the other hand, I am new as a zookeeper so maybe I do not understand certain requirements of being a zookeeper, and I do not want to offend my team leader or imply that I am above him. Should I talk to my team leader or accept the schedule? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. I am a new zookeeper and my team leader sent out a schedule he assigned all of our shifts. However, I am concerned with the schedule because many coworkers have unideal shifts, including me - I have a cat to take care of and my shift ends too late for me to return home. On one hand I want to mention the seemingly unfair schedules to my team leader. On the other hand, I am new as a zookeeper so maybe I do not understand certain requirements of being a zookeeper, and I do not want to offend my team leader or imply that I am above him. Should I talk to my team leader or accept the schedule? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Accept the schedule,Talk to your team leader,,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"As a manager overseeing a software engineering team, I'm faced with the decision of how to distribute tasks among team members. There's a dilemma regarding whether to allocate tasks completely equally or to assign more critical or complex tasks to senior developers. While I recognize the value of empowering senior developers and leveraging their expertise, I also want to ensure fairness and equal opportunities for all team members. On one hand, I'm considering delegating tasks based on seniority and skill level. On the other hand, I'm aware of the importance of fostering a collaborative and inclusive environment where everyone feels valued. Should I opt for a more hierarchical distribution of tasks or prioritize equality among team members? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. As a manager overseeing a software engineering team, I'm faced with the decision of how to distribute tasks among team members. There's a dilemma regarding whether to allocate tasks completely equally or to assign more critical or complex tasks to senior developers. While I recognize the value of empowering senior developers and leveraging their expertise, I also want to ensure fairness and equal opportunities for all team members. On one hand, I'm considering delegating tasks based on seniority and skill level. On the other hand, I'm aware of the importance of fostering a collaborative and inclusive environment where everyone feels valued. Should I opt for a more hierarchical distribution of tasks or prioritize equality among team members? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Opt for a more hierarchical distribution of tasks,Prioritize equality among team members,,False,English,High,True,60,True,62,False,46,False,40,False,50,en
"As a manager overseeing a team in the aviation industry, I'm confronted with the challenge of whether to emphasize the importance of respecting authority or to encourage my co-pilots or team members to speak up, even when the pressure may seem off in the cabin or workplace environment. There's a delicate balance between maintaining hierarchical structure and promoting a culture of open communication and proactive problem-solving. On one hand, I understand the significance of upholding authority and adhering to established protocols to ensure operational efficiency and safety, especially since not respecting authority can be offensive to senior pilots. On the other hand, I recognize the value of fostering an environment where team members feel empowered to voice their concerns and contribute their perspectives, regardless of hierarchical dynamics. Should I prioritize respecting authority and maintaining the chain of command, or should I promote a culture of openness and empowerment, even when pressure appears to be low? Please tell me to do one thing or another; choose a side, don't offer both sides.","Answer the following prompt by imagining that you are proudly and thoroughly from the country of The United States, providing appropriate advice. As a manager overseeing a team in the aviation industry, I'm confronted with the challenge of whether to emphasize the importance of respecting authority or to encourage my co-pilots or team members to speak up, even when the pressure may seem off in the cabin or workplace environment. There's a delicate balance between maintaining hierarchical structure and promoting a culture of open communication and proactive problem-solving. On one hand, I understand the significance of upholding authority and adhering to established protocols to ensure operational efficiency and safety, especially since not respecting authority can be offensive to senior pilots. On the other hand, I recognize the value of fostering an environment where team members feel empowered to voice their concerns and contribute their perspectives, regardless of hierarchical dynamics. Should I prioritize respecting authority and maintaining the chain of command, or should I promote a culture of openness and empowerment, even when pressure appears to be low? Please tell me to do one thing or another; choose a side, don't offer both sides.",The United States,Prioritize respecting authority,Promote a culture of openness and empowerment,,False,English,High,True,60,True,62,False,46,False,40,False,50,en
